Application,Pointers,Void Pointers,Uninitialized Pointers,Smart Pointers,Mallocs,Frees,Implicit Casts from Malloc,Unsafe Functions,Unsafe Casts,Construct from Implicit Cast,Unions,Ref Class Members,Ref Returns,Ref Const Returns,Ref to Deref,Address of Array,2D Arrays
,451,17,320,28,0,0,0,14,318,2751,5,47,867,56,14,0,5
,538,14,413,39,0,0,0,18,67,1441,13,58,645,51,24,0,5
,910,14,658,11,0,0,0,16,220,6419,5,93,704,32,14,0,5
,395,14,293,19,0,0,0,17,56,1230,7,33,331,28,26,0,5
,348,14,256,9,0,0,0,12,41,801,5,26,309,24,13,0,5
,353,14,258,12,0,0,0,14,231,2262,5,27,440,27,14,0,5
,540,14,368,34,0,0,0,18,800,6155,7,49,867,67,17,0,5
,540,14,368,34,0,0,0,18,800,6328,7,49,867,67,17,0,5
,566,17,375,34,0,0,0,18,1129,7262,7,49,892,69,17,0,5
,384,14,288,24,0,0,0,12,33,1027,7,38,365,35,17,0,5
,460,14,339,19,0,0,0,14,93,1551,5,34,522,52,15,0,5
,373,14,272,12,0,0,0,13,58,1443,5,27,435,35,14,0,5
,378,17,276,12,0,0,0,13,65,1142,5,27,464,37,14,0,5
,372,14,273,11,0,0,0,13,205,1764,5,26,570,35,14,0,5
,353,14,258,12,0,0,0,13,358,1895,5,27,589,35,14,0,5
,412,14,300,17,0,0,0,19,145,2732,5,37,442,30,16,0,5
,478,14,360,23,0,0,0,18,248,2664,7,38,702,58,16,0,5
,336,14,249,8,0,0,0,12,27,673,5,22,264,20,13,0,5
,344,14,249,9,0,0,0,13,33,953,5,24,353,21,14,0,5
,375,14,277,18,0,0,0,14,43,1006,5,33,386,29,14,0,5
,379,14,281,22,0,0,0,13,159,2471,5,37,526,36,14,0,5
,559,14,399,13,0,0,0,14,218,3956,5,83,794,52,18,0,5
,338,14,246,9,0,0,0,13,26,724,5,24,265,20,13,0,5
,320,14,239,8,0,0,0,12,33,631,5,22,283,22,13,0,5
,463,14,333,26,0,0,0,13,58,1472,7,42,485,46,17,0,5
,333,14,250,8,0,0,0,12,88,990,5,22,406,36,13,0,5
,519,14,341,12,0,0,0,13,435,1944,5,27,1375,78,14,0,5
,387,14,288,29,0,0,0,19,74,1802,5,48,495,32,15,0,5
,462,14,321,16,0,0,0,13,325,1702,5,31,870,62,14,0,5
,865,14,623,52,0,0,0,21,345,5705,13,83,1091,94,26,1,5
,868,17,626,52,0,0,0,21,345,3791,13,83,1095,94,26,1,5
,712,14,495,44,0,0,0,20,159,4575,9,88,901,69,28,0,5
,720,17,502,44,0,0,0,20,175,3028,9,88,945,73,28,0,5
,548,14,421,15,0,0,0,13,77,2022,5,31,341,86,14,0,5
,520,14,356,18,0,0,0,13,96,1738,5,49,523,37,13,0,5
,367,14,270,8,0,0,0,13,54,1193,5,29,364,28,13,0,5
,110,14,82,0,0,0,0,0,14,69,1,0,118,2,0,0,0
,587,14,432,27,0,0,0,14,252,6359,5,88,825,62,16,0,5
,344,14,250,8,0,0,0,13,40,800,5,23,375,24,13,0,5
,534,14,398,46,0,0,0,18,205,2506,9,59,959,72,19,0,5
,436,14,317,11,0,0,0,16,145,2084,5,32,676,44,20,0,5
,414,14,300,9,0,0,0,13,83,1347,5,25,390,30,13,0,5
,401,14,298,10,0,0,0,13,59,1069,5,32,381,32,13,0,5
,401,14,298,10,0,0,0,13,59,1023,5,32,381,32,13,0,5
,401,14,298,10,0,0,0,13,59,1023,5,32,381,32,13,0,5
,401,14,298,10,0,0,0,13,59,1023,5,32,381,32,13,0,5
,378,14,269,8,0,0,0,16,39,910,5,23,391,23,13,0,5
,319,14,238,8,0,0,0,12,32,607,5,22,276,21,13,0,5
,395,14,283,8,0,0,0,13,39,951,5,23,311,24,13,0,5
,414,14,313,14,0,0,0,14,62,5498,5,51,472,31,14,0,5
,44,17,44,0,0,0,0,14,0,0,0,0,0,0,0,0,0
,40,16,38,0,0,0,0,0,0,24,0,1,0,0,0,0,0
,40,16,38,0,0,0,0,0,0,24,0,1,0,0,0,0,0
,40,16,38,0,0,0,0,0,0,24,0,1,0,0,0,0,0
,260,16,197,10,0,0,0,17,18,362,4,24,164,20,20,0,5
,253,16,196,10,0,0,0,17,18,348,4,24,163,20,14,0,5
,4,4,4,0,0,0,0,0,4,19,0,0,0,0,0,0,0
,43,16,43,0,0,0,0,1,0,8,0,0,0,0,0,0,0
,298,16,225,9,0,0,0,16,18,381,6,24,196,26,14,0,5
,,,,,,,,,,,,,,,,,
capnproto,686,140,283,0,0,141,0,270,111,1810,3,121,221,21,49,13,1
,19,12,16,0,0,0,0,6,1,16,0,0,0,0,0,0,0
,3,0,2,0,0,0,0,8,4,5,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,4,0,3,0,0,0,0,6,0,8,0,0,0,0,0,0,0
,17,0,13,0,0,0,0,7,0,50,0,0,0,0,0,0,0
,27,5,14,0,0,1,0,15,8,70,0,0,6,0,2,0,0
,19,8,8,0,0,0,0,17,7,10,0,0,0,0,1,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,1,2,0,0,0,0,6,0,18,0,0,0,0,0,0,0
,60,1,22,0,0,0,0,21,1,81,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
,14,1,3,0,0,0,0,22,1,13,0,2,8,0,1,13,1
,2,1,1,0,0,0,0,6,5,8,0,0,1,0,0,0,0
,28,0,3,0,0,0,0,10,1,133,1,0,21,0,9,0,0
,15,5,4,0,0,0,0,7,9,3,0,0,0,0,0,0,0
,1,0,1,0,0,0,0,6,0,4,0,0,2,0,0,0,0
,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,33,0,9,0,0,0,0,9,10,82,0,0,0,0,1,0,0
,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
,4,0,3,0,0,0,0,8,0,1,0,2,0,0,0,0,0
,2,0,1,0,0,0,0,6,0,5,0,0,6,5,0,0,0
,57,3,4,0,0,0,0,8,4,266,0,2,27,6,21,0,0
